codigo_nacional_farmaco_cd,codigo_descripcion,atc_farmaco_dispensado_cd,ddd_nomenclator_nm,ddd_por_envase,pvp_nomenclator_nm,precio_por_envase_nm
677512,OLANZAPINA TEVAGEN 5MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N05AH03,10,14,30.29,30.29
677513,"OLANZAPINA TEVAGEN 7,5MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG",N05AH03,10,42,91.09,91.09
669167,OLANZAPINA MEDIS 10MG 28 COMPRIMIDOS BUCODISPERSABLES EFG,N05AH03,10,28,53,53
669177,OLANZAPINA MEDIS 15MG 28 COMPRIMIDOS BUCODISPERSABLES EFG,N05AH03,10,42,79.49,79.49
669186,OLANZAPINA MEDIS 20MG 28 COMPRIMIDOS BUCODISPERSABLES EFG,N05AH03,10,56,106,106
669159,OLANZAPINA MEDIS 5MG 28 COMPRIMIDOS BUCODISPERSABLES EFG,N05AH03,10,14,26.46,26.46
689460,OLANZAPINA BENEL 10MG 56 COMPRIMIDOS BUCODISPERSABLES EFG,N05AH03,10,56,105.78,105.78
689000,OLANZAPINA SUN 10MG 56 COMPRIMIDOS BUCODISPERSABLES EFG,N05AH03,10,56,106,106
665868,OLANZAPINA APOTEX 20MG 28 COMPRIMIDOS BUCODISPERSABLES EFG,N05AH03,10,56,105.78,105.78
672997,"OLANZAPINA APOTEX 2,5MG 28 COMPRIMIDOS RECUBIERTOS CON PELICULA EFG",N05AH03,10,7,13.22,13.22
600220,RISPERIDONA DAVUR 6MG 500 COMPRIMIDOS EFG,N05AX08,5,600,788.28,788.28
665595,OLANZAPINA MYLAN PHARMACEUTICALS 5MG 28 COMPRIMIDOS BUCODISPERSAB EFG,N05AH03,10,14,26.44,26.44
600265,RISPERIDONA TEVAGEN 3MG 500 COMPRIMIDOS EFG,N05AX08,5,300,392.97,392.97
600268,RISPERIDONA TEVAGEN 1MG 500 COMPRIMIDOS EFG,N05AX08,5,100,134.77,134.77
699647,ATROLAK PROLONG 50MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG,N05AH04,400,7.5,16.2,16.2
663557,QUETIAPINA TEVA 100MG 60 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N05AH04,400,15,32.41,32.41
660767,QUETIAPINA ZENTIVA 300MG 60 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N05AH04,400,45,97.22,97.22
652569,RISPERIDONA ARISTO 6MG 60 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N05AX08,5,72,49.17,49.17
762089,APALOZ 20MG 28 COMPRIMIDOS BUCODISPERSABLES,N05AX12,15,37.33,94.35,94.35
659229,OLANZAPINA PENSA 10MG 56 COMPRIMIDOS EFG,N05AH03,10,56,105.78,105.78
659224,"OLANZAPINA PENSA 2,5MG 28 COMPRIMIDOS EFG",N05AH03,10,7,13.22,13.22
660604,QUETIAPINA KERN PHARMA 200MG 60 COMPRIMIDOS RECUB PELIC EFG,N05AH04,400,30,64.82,64.82
724618,ABILIFY 10MG 28 COMPRIMIDOS,N05AX12,15,18.66,47.18,47.18
777789,LARGACTIL 25MG 50 COMPRIMIDOS RECUBIERTOS PELICULA,N05AA01,300,4.16,1.51,1.51
777755,LARGACTIL 100MG 30 COMPRIMIDOS RECUBIERTOS PELICULA,N05AA01,300,10,1.92,1.92
777797,LARGACTIL 5MG/ML 5ML 5 AMPOLLAS SOLUCION INYECTABLE,N05AA01,100,1.25,1.58,1.58
973743,SINOGAN 25MG 10 AMPOLLAS 1ML SOLUCION INYECTABLE,N05AA02,100,2.5,2.83,2.83
824375,SINOGAN 100MG 20 COMPRIMIDOS RECUBIERTOS PELICULA,N05AA02,300,6.66,2.26,2.26
824391,SINOGAN 25MG 20 COMPRIMIDOS RECUBIERTOS PELICULA,N05AA02,300,1.66,1.64,1.64
789347,MODECATE 25MG 1 AMPOLLA 1ML SOLUCION INYECTABLE DEPOT,N05AB02,1,25,2.97,2.97
789354,MODECATE 25MG 5 AMPOLLAS 1ML SOLUCION INYECTABLE DEPOT,N05AB02,1,125,7.18,7.18
700503,DECENTAN 8MG 50 COMPRIMIDOS,N05AB03,30,13.33,3.59,3.59
791681,NEMACTIL 50MG 30 COMPRIMIDOS,N05AC01,50,30,2.64,2.64
791673,NEMACTIL 10MG 50 COMPRIMIDOS RECUBIERTOS PELICULA,N05AC01,50,10,1.61,1.61
650283,HALOPERIDOL ESTEVE 2MG/1ML 30ML 1 FRASCO SOLUCION GOTAS ORALES,N05AD01,8,7.5,2.5,2.5
949883,HALOPERIDOL PRODES 10MG 30 COMPRIMIDOS,N05AD01,8,37.5,3.12,3.12
989475,HALOPERIDOL ESTEVE 10MG 30 COMPRIMIDOS,N05AD01,8,37.5,3.12,3.12
673193,OLANZAPINA TEVA-RATIO 10MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N05AH03,10,56,105.78,105.78
673189,"OLANZAPINA TEVA-RATIO 2,5MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG",N05AH03,10,7,13.22,13.22
672135,OLANZAPINA COMBIX 5MG 28 COMPRIMIDOS BUCODISPERSABLES EFG,N05AH03,10,14,26.44,26.44
669441,"OLANZAPINA SUN 2,5MG 28 COMPRIMIDOS EFG",N05AH03,10,7,13.22,13.22
669447,OLANZAPINA SUN 5MG 28 COMPRIMIDOS BUCODISPERSABLES EFG,N05AH03,10,14,26.44,26.44
669442,OLANZAPINA SUN 5MG 28 COMPRIMIDOS EFG,N05AH03,10,14,26.44,26.44
669444,"OLANZAPINA SUN 7,5MG 56 COMPRIMIDOS EFG",N05AH03,10,42,79.33,79.33
669446,OLANZAPINA SUN 10MG 56 COMPRIMIDOS EFG,N05AH03,10,56,105.78,105.78
600443,RISPERIDONA SPYFARMA 3MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N05AX08,5,300,449.67,449.67
600444,RISPERIDONA SPYFARMA 6MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N05AX08,5,600,899.33,899.33
600273,RISPERIDONA CINFA 6MG 500 COMPRIMIDOS EFG,N05AX08,5,600,739.49,739.49
600264,RISPERIDONA RANBAXY 1MG 500 COMPRIMIDOS EFG,N05AX08,5,100,195.82,195.82
602518,"DIAFORIN 0,5MG 500 COMPRIMIDOS RECUBIERTOS PELICULA",N05AX08,5,50,74.86,74.86
602519,RISFARMAL 1MG 500 COMPRIMIDOS RECUBIERTOS PELICULA,N05AX08,5,100,149.91,149.91
602520,DIAFORIN 2MG 500 COMPRIMIDOS RECUBIERTOS PELICULA,N05AX08,5,200,299.75,299.75
602523,RISFARMAL 6MG 500 COMPRIMIDOS RECUBIERTOS PELICULA,N05AX08,5,600,926.7,926.7
673312,OLANZAPINA SANDOZ 10MG 28 COMPRIMIDOS BUCODISPERSABLES EFG,N05AH03,10,28,52.89,52.89
651598,RISPERIDONA CINFA 3MG 20 COMPRIMIDOS EFG,N05AX08,5,12,8.2,8.2
651599,RISPERIDONA CINFA 3MG 60 COMPRIMIDOS EFG,N05AX08,5,36,24.59,24.59
658985,RISPERIDONA MABO 1MG/ML 30ML 1 FRASCO SOLUCION ORAL EFG,N05AX08,5,6,4.11,4.11
659049,RISPERIDONA STADA 1MG/ML 100ML 1 FRASCO SOLUCION ORAL EFG,N05AX08,5,20,13.66,13.66
659050,RISPERIDONA STADA 1MG/ML 30ML 1 FRASCO SOLUCION ORAL EFG,N05AX08,5,6,4.11,4.11
707824,ATILDON FLAS 10MG 28 COMPRIMIDOS BUCODISPERSABLES EFG,N05AX12,15,18.66,47.18,47.18
707827,ATILDON FLAS 15MG 28 COMPRIMIDOS BUCODISPERSABLES EFG,N05AX12,15,28,70.76,70.76
707831,ATILDON FLAS 30MG 28 COMPRIMIDOS BUCODISPERSABLES EFG,N05AX12,15,56,141.53,141.53
728311,ABILIFY 30MG 28 COMPRIMIDOS,N05AX12,15,56,141.53,141.53
732116,ABILIFY 15MG 28 COMPRIMIDOS,N05AX12,15,28,70.76,70.76
732150,ARIPIPRAZOL PENSA 10MG 28 COMPRIMIDOS EFG,N05AX12,15,18.66,47.18,47.18
732151,ARIPIPRAZOL PENSA 5MG 28 COMPRIMIDOS EFG,N05AX12,15,9.33,23.59,23.59
728945,ABILIFY 15MG 28 COMPRIMIDOS BUCODISPERSABLES,N05AX12,15,28,70.76,70.76
730923,ARIPIPRAZOL MYLAN PHARMA 10MG 28 COMPRIMIDOS EFG,N05AX12,15,18.66,47.18,47.18
763728,ARIPIPRAZOL NORMON 20MG 28 COMPRIMIDOS,N05AX12,15,37.33,94.35,94.35
731605,ARIPIPRAZOL ALTER GENERICOS 30MG 28 COMPRIMIDOS BUCODISPERSABLES EFG,N05AX12,15,56,141.51,141.51
710451,ARIPIPRAZOL TARBIS FARMA 10MG 28 COMPRIMIDOS EFG,N05AX12,15,18.66,47.18,47.18
710460,ARIPIPRAZOL TARBIS FARMA 15MG 28 COMPRIMIDOS EFG,N05AX12,15,28,70.76,70.76
764770,NIAPELF 100MG 1 JERINGA PRECARGADA 1ML SUSP INYECT LIBERAC PROLONGADA,N05AX13,2.5,40,187.29,187.29
