codigo_nacional_farmaco_cd,codigo_descripcion,atc_farmaco_dispensado_cd,ddd_nomenclator_nm,ddd_por_envase,pvp_nomenclator_nm,precio_por_envase_nm
665337,ESCITALOPRAM FARMALIDER 10MG 56 COMPRIMIDOS RECUB PELIC BOTE EFG,N06AB10,10,56,17.48,17.48
665333,ESCITALOPRAM FARMALIDER 5MG 14 COMPRIMIDOS RECUB PELIC BLIST EFG,N06AB10,10,7,2.5,2.5
697653,ESCITALOPRAM SUN 15MG 28 COMPRIMIDOS REC PEL (POLIAM/ALU/PE/HDPE) EFG,N06AB10,10,42,13.11,13.11
701587,ESCITALOPRAM ARISTO 5MG 14 COMPRIMIDOS REC PELIC (PVC/PE/PVDC/AL) EFG,N06AB10,10,7,2.5,2.5
706186,ESCITALOPRAM VIR 5MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,14,4.39,4.39
688350,ESCITALOPRAM ACCORD 5MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,14,4.37,4.37
665693,ESCITALOPRAM ALTER 10MG 56 COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,N06AB10,10,56,17.55,17.55
665696,ESCITALOPRAM ALTER 15MG 56 COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,N06AB10,10,84,26.32,26.32
900597,REXER 15MG/ML 66ML SOLUCION ORAL 1 FRASCO,N06AX11,30,33,18.75,18.75
650205,MIRTAZAPINA SANDOZ FARMACEUTICA 15MG 60 COMPRIMIDOS RECUB PELICULA EFG,N06AX11,30,30,17.05,17.05
703369,"ZINOSAL 12,5MG 30 COMPRIMIDOS RECUBIERTOS PELICULA (PVC/PVDC-AL) EFG",N06AX14,37.5,10,7.49,7.49
683002,ESCITALOPRAM UR 10MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,28,8.74,8.74
683004,ESCITALOPRAM UR 10MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,56,17.48,17.48
683005,ESCITALOPRAM UR 15MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,42,13.11,13.11
683006,ESCITALOPRAM UR 15MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,84,26.23,26.23
682999,ESCITALOPRAM UR 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,56,17.48,17.48
683000,ESCITALOPRAM UR 20MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,112,34.97,34.97
659669,PAROXETINA ALTER 20MG 14 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB05,20,14,3.04,3.04
652723,SERTRALINA ZENTIVA 100MG 30 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB06,50,60,11.66,11.66
652722,SERTRALINA ZENTIVA 50MG 30 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB06,50,30,5.84,5.84
665342,ESCITALOPRAM FARMALIDER 15MG 56 COMPRIMIDOS RECUB PELICULA BLISTER EFG,N06AB10,10,84,26.23,26.23
665341,ESCITALOPRAM FARMALIDER 15MG 56 COMPRIMIDOS RECUB PELICULA BOTE EFG,N06AB10,10,84,26.23,26.23
665347,ESCITALOPRAM FARMALIDER 20MG 28 COMPRIMIDOS RECUB PELICULA BOTE EFG,N06AB10,10,56,17.48,17.48
665346,ESCITALOPRAM FARMALIDER 20MG 56 COMPRIMIDOS RECUB PELICULA BLISTER EFG,N06AB10,10,112,34.97,34.97
652268,PAROXETINA GSK 20MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB05,20,56,12.18,12.18
651654,PAROXETINA GSK 20MG 14 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB05,20,14,3.04,3.04
651655,PAROXETINA GSK 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB05,20,28,6.09,6.09
652108,PAROXETINA SANDOZ 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB05,20,28,6.09,6.09
652112,PAROXETINA SANDOZ 20MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB05,20,56,12.18,12.18
819359,SERTRALINA TARBIS 100MG 30 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB06,50,60,11.66,11.66
819367,SERTRALINA TARBIS 50MG 30 COMPRIMIDOS RECUBIERTOS PELIC EFG,N06AB06,50,30,5.84,5.84
653358,CITALOPRAM PHARMAGENUS 30MG 28 COMPRIMIDOS RECUB PELIC EFG,N06AB04,20,42,7.68,7.68
602468,SERTRABRAIN 100MG 500 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB06,50,1000,250.33,250.33
602412,SERTRALINA PENSA 100MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB06,50,1000,125.87,125.87
602413,SERTRALINA CURAXYS 50MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB06,50,500,87.62,87.62
